2	192
2.1	161
2.2	153
2.3	174
2.4	317
2.5	399
2.6	471
2.7	475
2.8	441
2.9	288
3	174
3.1	311
3.2	598
3.3	960
3.4	1121
3.5	1099
3.6	714
3.7	306
3.8	158
3.9	413
4	958
4.1	1546
4.2	1742
4.3	1516
4.4	882
4.5	373
4.6	238
4.7	601
4.8	1218
4.9	1924
5	2022
5.1	1568
5.2	870
5.3	305
5.4	207
5.5	612
5.6	1228
5.7	1672
5.8	1683
5.9	1238
6	610
6.1	273
6.2	194
6.3	468
6.4	859
6.5	1019
6.6	1042
6.7	713
6.8	392
6.9	194
7	169
7.1	260
7.2	412
7.3	493
7.4	418
7.5	323
7.6	198
7.7	147
7.8	127
7.9	142
8	164
